忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
11 ,50 ,13 ,35 ,15 ,34 
12 ,50 ,16 ,39 ,27 ,41 
13 ,54 ,18 ,40 ,39 ,50 
11 ,51 ,20 ,43 ,47 ,77 
18 ,42 ,23 ,50 ,42 ,101 
20 ,37 ,23 ,81 ,34 ,87 
26 ,34 ,22 ,96 ,44 ,68 
21 ,33 ,21 ,102 ,51 ,71 
18 ,32 ,24 ,90 ,48 ,72 
14 ,31 ,28 ,77 ,42 ,54 
20 ,30 ,27 ,63 ,43 ,35 
28 ,29 ,29 ,48 ,43 ,31 
31 ,26 ,36 ,38 ,43 ,29 
39 ,28 ,38 ,31 ,42 ,25 
36 ,38 ,40 ,26 ,42 ,18 
37 ,40 ,42 ,21 ,46 ,12 
39 ,43 ,41 ,18 ,51 ,10 
43 ,46 ,40 ,14 ,55 ,9 
43 ,45 ,41 ,25 ,56 ,9 
39 ,49 ,46 ,22 ,56 ,8 
41 ,54 ,49 ,20 ,47 ,8 
44 ,49 ,52 ,20 ,46 ,15 
50 ,40 ,56 ,16 ,47 ,20 
51 ,31 ,60 ,14 ,49 ,16 
48 ,33 ,52 ,11 ,50 ,13 
41 ,41 ,40 ,12 ,50 ,16 
42 ,50 ,38 ,13 ,54 ,18 
39 ,56 ,41 ,11 ,51 ,20 
47 ,54 ,43 ,18 ,42 ,23 
41 ,53 ,39 ,20 ,37 ,23 
43 ,57 ,36 ,26 ,34 ,22 
37 ,58 ,34 ,21 ,33 ,21 
37 ,60 ,31 ,18 ,32 ,24 
36 ,60 ,24 ,14 ,31 ,28 
30 ,59 ,20 ,20 ,30 ,27 
24 ,58 ,20 ,28 ,29 ,29 
21 ,55 ,16 ,31 ,26 ,36 
14 ,47 ,13 ,39 ,28 ,38 
18 ,29 ,18 ,36 ,38 ,40 
14 ,15 ,21 ,37 ,40 ,42 
19 ,12 ,21 ,39 ,43 ,41 
18 ,25 ,23 ,43 ,46 ,40 
