忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
8 ,30 ,8 ,60 ,15 ,50 
9 ,34 ,7 ,62 ,20 ,55 
10 ,32 ,8 ,68 ,29 ,54 
12 ,32 ,8 ,74 ,41 ,40 
16 ,30 ,11 ,72 ,47 ,26 
14 ,33 ,14 ,72 ,53 ,23 
15 ,34 ,14 ,55 ,47 ,19 
16 ,32 ,11 ,42 ,42 ,21 
13 ,31 ,13 ,26 ,44 ,29 
16 ,31 ,14 ,28 ,42 ,30 
13 ,31 ,13 ,26 ,42 ,26 
12 ,30 ,11 ,36 ,38 ,28 
8 ,31 ,12 ,38 ,35 ,33 
7 ,30 ,11 ,37 ,35 ,38 
7 ,30 ,10 ,38 ,38 ,34 
9 ,32 ,11 ,35 ,41 ,25 
4 ,36 ,13 ,39 ,39 ,25 
10 ,41 ,16 ,44 ,39 ,32 
12 ,39 ,14 ,45 ,39 ,40 
16 ,38 ,14 ,44 ,44 ,48 
16 ,33 ,15 ,42 ,28 ,61 
15 ,15 ,19 ,36 ,12 ,53 
24 ,24 ,17 ,38 ,10 ,32 
23 ,33 ,17 ,37 ,8 ,37 
26 ,39 ,20 ,44 ,5 ,41 
18 ,38 ,16 ,46 ,7 ,49 
21 ,34 ,21 ,48 ,10 ,47 
19 ,31 ,29 ,47 ,17 ,37 
25 ,28 ,32 ,40 ,18 ,30 
22 ,31 ,36 ,40 ,19 ,33 
33 ,33 ,36 ,44 ,29 ,38 
39 ,32 ,39 ,46 ,35 ,38 
37 ,30 ,48 ,46 ,33 ,45 
39 ,31 ,50 ,48 ,41 ,52 
39 ,32 ,47 ,50 ,49 ,58 
47 ,34 ,43 ,53 ,42 ,58 
38 ,34 ,37 ,47 ,37 ,54 
23 ,34 ,31 ,42 ,31 ,51 
24 ,39 ,34 ,33 ,28 ,42 
26 ,40 ,45 ,33 ,22 ,35 
35 ,39 ,59 ,36 ,24 ,35 
33 ,42 ,73 ,32 ,25 ,36 
48 ,43 ,86 ,30 ,28 ,38 
58 ,43 ,91 ,25 ,38 ,40 
74 ,46 ,87 ,27 ,38 ,42 
81 ,46 ,91 ,25 ,28 ,41 
95 ,39 ,94 ,25 ,20 ,36 
98 ,55 ,91 ,32 ,18 ,35 
89 ,77 ,87 ,29 ,19 ,36 
93 ,85 ,88 ,33 ,26 ,35 
78 ,93 ,84 ,29 ,37 ,37 
84 ,100 ,81 ,32 ,53 ,40 
77 ,104 ,83 ,24 ,61 ,36 
89 ,102 ,88 ,21 ,63 ,31 
78 ,94 ,86 ,16 ,66 ,35 
72 ,92 ,81 ,21 ,64 ,36 
63 ,91 ,75 ,21 ,69 ,32 
61 ,87 ,68 ,20 ,71 ,29 
56 ,88 ,60 ,12 ,64 ,28 
55 ,87 ,50 ,8 ,61 ,30 
53 ,86 ,42 ,10 ,64 ,28 
46 ,85 ,35 ,15 ,61 ,22 
40 ,88 ,31 ,10 ,40 ,17 
32 ,87 ,26 ,9 ,24 ,15 
35 ,85 ,21 ,6 ,28 ,16 
27 ,88 ,23 ,5 ,39 ,14 
30 ,91 ,19 ,6 ,42 ,15 
28 ,92 ,18 ,5 ,30 ,18 
35 ,80 ,22 ,7 ,18 ,18 
32 ,72 ,22 ,9 ,19 ,20 
28 ,76 ,21 ,3 ,23 ,25 
32 ,75 ,18 ,7 ,23 ,26 
37 ,74 ,21 ,9 ,27 ,24 
50 ,76 ,26 ,10 ,32 ,21 
41 ,78 ,29 ,12 ,34 ,18 
40 ,84 ,33 ,11 ,38 ,17 
28 ,89 ,30 ,19 ,41 ,15 
31 ,92 ,28 ,15 ,43 ,14 
33 ,88 ,29 ,15 ,41 ,15 
35 ,84 ,30 ,9 ,34 ,11 
37 ,79 ,33 ,7 ,29 ,10 
19 ,41 ,15 ,7 ,30 ,11 
13 ,37 ,14 ,6 ,31 ,13 
21 ,40 ,14 ,11 ,27 ,14 
15 ,47 ,15 ,8 ,27 ,10 
18 ,49 ,13 ,9 ,27 ,9 
10 ,48 ,8 ,4 ,25 ,11 
10 ,51 ,8 ,7 ,26 ,14 
7 ,49 ,9 ,8 ,22 ,13 
11 ,48 ,12 ,18 ,20 ,10 
9 ,53 ,14 ,22 ,30 ,15 
9 ,51 ,11 ,20 ,27 ,17 
7 ,46 ,15 ,14 ,15 ,18 
10 ,44 ,20 ,16 ,13 ,18 
10 ,42 ,19 ,23 ,15 ,14 
10 ,39 ,17 ,25 ,17 ,16 
11 ,37 ,17 ,29 ,28 ,18 
8 ,35 ,21 ,32 ,35 ,20 
7 ,34 ,21 ,24 ,32 ,16 
10 ,32 ,18 ,22 ,32 ,11 
14 ,31 ,20 ,19 ,30 ,12 
13 ,27 ,20 ,19 ,30 ,15 
12 ,24 ,19 ,22 ,28 ,14 
9 ,23 ,15 ,25 ,23 ,15 
11 ,22 ,15 ,27 ,25 ,20 
11 ,19 ,14 ,24 ,30 ,19 
9 ,18 ,9 ,25 ,34 ,17 
7 ,20 ,11 ,22 ,32 ,15 
3 ,20 ,17 ,24 ,31 ,11 
2 ,25 ,14 ,18 ,32 ,15 
5 ,27 ,8 ,21 ,27 ,18 
6 ,28 ,8 ,12 ,26 ,19 
10 ,32 ,7 ,11 ,29 ,18 
10 ,37 ,8 ,8 ,32 ,12 
9 ,42 ,11 ,14 ,35 ,10 
10 ,40 ,15 ,20 ,30 ,11 
10 ,31 ,14 ,20 ,23 ,13 
12 ,32 ,14 ,23 ,16 ,10 
8 ,39 ,14 ,16 ,17 ,8 
16 ,40 ,10 ,11 ,23 ,14 
18 ,38 ,10 ,5 ,23 ,15 
24 ,41 ,15 ,7 ,19 ,13 
18 ,44 ,14 ,14 ,18 ,12 
14 ,47 ,9 ,10 ,29 ,10 
20 ,53 ,13 ,11 ,40 ,9 
14 ,55 ,20 ,10 ,43 ,15 
25 ,55 ,23 ,7 ,40 ,13 
24 ,53 ,24 ,8 ,35 ,11 
27 ,49 ,26 ,6 ,31 ,19 
27 ,45 ,27 ,4 ,27 ,18 
18 ,46 ,26 ,2 ,26 ,15 
22 ,45 ,25 ,2 ,27 ,16 
18 ,41 ,24 ,4 ,29 ,13 
25 ,43 ,25 ,4 ,30 ,16 
24 ,47 ,26 ,8 ,30 ,21 
27 ,49 ,31 ,14 ,29 ,27 
25 ,50 ,40 ,15 ,27 ,30 
30 ,53 ,40 ,13 ,33 ,28 
31 ,53 ,29 ,16 ,39 ,34 
40 ,47 ,25 ,21 ,31 ,36 
30 ,43 ,22 ,28 ,18 ,35 
31 ,41 ,18 ,22 ,11 ,43 
22 ,35 ,16 ,25 ,14 ,47 
32 ,46 ,15 ,25 ,22 ,43 
27 ,57 ,10 ,27 ,24 ,38 
30 ,56 ,9 ,29 ,28 ,34 
24 ,65 ,12 ,26 ,30 ,30 
24 ,64 ,11 ,29 ,32 ,26 
24 ,66 ,18 ,24 ,40 ,23 
26 ,75 ,22 ,24 ,43 ,20 
30 ,62 ,22 ,22 ,42 ,19 
32 ,54 ,25 ,20 ,40 ,22 
45 ,50 ,24 ,11 ,39 ,25 
47 ,51 ,23 ,12 ,39 ,24 
56 ,55 ,29 ,6 ,37 ,23 
41 ,55 ,25 ,12 ,37 ,19 
43 ,53 ,18 ,7 ,38 ,14 
36 ,49 ,20 ,10 ,39 ,14 
44 ,50 ,24 ,9 ,40 ,12 
45 ,50 ,30 ,12 ,42 ,11 
57 ,48 ,41 ,11 ,46 ,9 
54 ,49 ,51 ,8 ,47 ,10 
61 ,56 ,54 ,9 ,44 ,15 
47 ,57 ,57 ,19 ,42 ,17 
51 ,51 ,57 ,21 ,35 ,20 
42 ,42 ,56 ,19 ,31 ,16 
43 ,32 ,48 ,13 ,35 ,15 
41 ,32 ,43 ,16 ,38 ,19 
41 ,42 ,45 ,14 ,34 ,21 
42 ,47 ,44 ,13 ,32 ,20 
41 ,43 ,44 ,12 ,29 ,19 
40 ,46 ,49 ,19 ,34 ,16 
38 ,51 ,50 ,23 ,39 ,14 
41 ,57 ,50 ,15 ,34 ,15 
45 ,59 ,49 ,19 ,34 ,17 
43 ,53 ,49 ,18 ,34 ,16 
44 ,48 ,50 ,18 ,30 ,16 
41 ,51 ,48 ,18 ,27 ,15 
51 ,51 ,50 ,21 ,30 ,14 
50 ,45 ,56 ,29 ,31 ,14 
50 ,45 ,59 ,19 ,28 ,15 
38 ,46 ,59 ,14 ,26 ,16 
33 ,43 ,60 ,18 ,27 ,15 
37 ,42 ,60 ,23 ,26 ,15 
43 ,43 ,61 ,27 ,27 ,23 
39 ,44 ,62 ,22 ,32 ,25 
40 ,39 ,51 ,39 ,35 ,20 
35 ,31 ,36 ,44 ,34 ,21 
37 ,28 ,31 ,44 ,24 ,24 
37 ,30 ,37 ,43 ,25 ,26 
43 ,40 ,38 ,36 ,35 ,28 
37 ,53 ,34 ,29 ,48 ,22 
30 ,63 ,46 ,23 ,56 ,16 
29 ,74 ,56 ,20 ,49 ,19 
32 ,80 ,56 ,11 ,48 ,18 
59 ,80 ,57 ,21 ,54 ,12 
69 ,77 ,57 ,24 ,53 ,8 
77 ,76 ,62 ,24 ,46 ,9 
79 ,77 ,66 ,19 ,40 ,12 
79 ,65 ,68 ,13 ,43 ,9 
78 ,58 ,72 ,19 ,42 ,10 
79 ,89 ,62 ,19 ,38 ,17 
77 ,84 ,63 ,24 ,39 ,18 
64 ,83 ,57 ,18 ,44 ,22 
50 ,84 ,31 ,23 ,51 ,23 
30 ,85 ,19 ,27 ,50 ,23 
20 ,89 ,15 ,35 ,51 ,19 
12 ,90 ,23 ,25 ,51 ,14 
36 ,90 ,38 ,13 ,49 ,18 
50 ,95 ,56 ,14 ,54 ,22 
69 ,95 ,65 ,20 ,53 ,23 
60 ,86 ,46 ,20 ,40 ,20 
44 ,72 ,26 ,18 ,26 ,18 
22 ,44 ,22 ,18 ,26 ,12 
15 ,25 ,19 ,16 ,31 ,15 
18 ,23 ,14 ,15 ,30 ,16 
20 ,24 ,21 ,8 ,30 ,8 
18 ,26 ,27 ,9 ,34 ,7 
20 ,29 ,27 ,10 ,32 ,8 
21 ,31 ,28 ,12 ,32 ,8 
27 ,38 ,36 ,16 ,30 ,11 
32 ,45 ,46 ,14 ,33 ,14 
38 ,42 ,49 ,15 ,34 ,14 
38 ,41 ,49 ,16 ,32 ,11 
39 ,38 ,56 ,13 ,31 ,13 
45 ,39 ,61 ,16 ,31 ,14 
44 ,38 ,55 ,13 ,31 ,13 
39 ,33 ,49 ,12 ,30 ,11 
32 ,31 ,48 ,8 ,31 ,12 
29 ,24 ,43 ,7 ,30 ,11 
35 ,23 ,45 ,7 ,30 ,10 
32 ,24 ,46 ,9 ,32 ,11 
31 ,23 ,41 ,4 ,36 ,13 
31 ,29 ,39 ,10 ,41 ,16 
36 ,32 ,43 ,12 ,39 ,14 
45 ,35 ,50 ,16 ,38 ,14 
45 ,37 ,60 ,16 ,33 ,15 
49 ,42 ,70 ,15 ,15 ,19 
54 ,40 ,61 ,24 ,24 ,17 
58 ,39 ,54 ,23 ,33 ,17 
62 ,46 ,52 ,26 ,39 ,20 
54 ,54 ,49 ,18 ,38 ,16 
44 ,54 ,43 ,21 ,34 ,21 
41 ,54 ,38 ,19 ,31 ,29 
49 ,57 ,37 ,25 ,28 ,32 
53 ,58 ,43 ,22 ,31 ,36 
48 ,59 ,49 ,33 ,33 ,36 
51 ,60 ,52 ,39 ,32 ,39 
51 ,66 ,53 ,37 ,30 ,48 
22 ,68 ,34 ,39 ,31 ,50 
23 ,75 ,42 ,39 ,32 ,47 
21 ,71 ,46 ,47 ,34 ,43 
26 ,73 ,39 ,38 ,34 ,37 
30 ,70 ,27 ,23 ,34 ,31 
29 ,65 ,20 ,24 ,39 ,34 
24 ,66 ,8 ,26 ,40 ,45 
15 ,65 ,2 ,35 ,39 ,59 
8 ,68 ,7 ,33 ,42 ,73 
5 ,63 ,16 ,48 ,43 ,86 
18 ,40 ,21 ,58 ,43 ,91 
25 ,19 ,26 ,74 ,46 ,87 
29 ,15 ,31 ,81 ,46 ,91 
21 ,12 ,24 ,95 ,39 ,94 
18 ,12 ,23 ,98 ,55 ,91 
13 ,20 ,21 ,89 ,77 ,87 
11 ,27 ,20 ,93 ,85 ,88 
11 ,27 ,18 ,78 ,93 ,84 
15 ,29 ,13 ,84 ,100 ,81 
22 ,38 ,14 ,77 ,104 ,83 
22 ,39 ,22 ,89 ,102 ,88 
27 ,34 ,30 ,78 ,94 ,86 
20 ,37 ,35 ,72 ,92 ,81 
26 ,33 ,39 ,63 ,91 ,75 
29 ,30 ,40 ,61 ,87 ,68 
36 ,30 ,42 ,56 ,88 ,60 
32 ,28 ,43 ,55 ,87 ,50 
28 ,24 ,41 ,53 ,86 ,42 
28 ,30 ,42 ,46 ,85 ,35 
27 ,29 ,39 ,40 ,88 ,31 
33 ,22 ,33 ,32 ,87 ,26 
35 ,25 ,31 ,35 ,85 ,21 
45 ,29 ,31 ,27 ,88 ,23 
47 ,30 ,30 ,30 ,91 ,19 
44 ,26 ,34 ,28 ,92 ,18 
41 ,19 ,40 ,35 ,80 ,22 
48 ,25 ,51 ,32 ,72 ,22 
43 ,41 ,56 ,28 ,76 ,21 
40 ,44 ,43 ,32 ,75 ,18 
33 ,42 ,29 ,37 ,74 ,21 
36 ,49 ,19 ,50 ,76 ,26 
44 ,54 ,20 ,41 ,78 ,29 
36 ,53 ,22 ,40 ,84 ,33 
33 ,54 ,22 ,28 ,89 ,30 
30 ,56 ,23 ,31 ,92 ,28 
32 ,56 ,26 ,33 ,88 ,29 
32 ,55 ,34 ,35 ,84 ,30 
29 ,51 ,42 ,37 ,79 ,33 
38 ,49 ,46 ,33 ,73 ,35 
41 ,48 ,51 ,31 ,70 ,36 
46 ,47 ,54 ,27 ,62 ,33 
46 ,43 ,60 ,28 ,58 ,31 
53 ,43 ,65 ,33 ,62 ,31 
48 ,43 ,68 ,42 ,70 ,32 
55 ,37 ,71 ,45 ,69 ,42 
51 ,37 ,79 ,44 ,61 ,61 
54 ,41 ,81 ,48 ,68 ,72 
46 ,41 ,57 ,56 ,75 ,60 
28 ,39 ,36 ,58 ,73 ,43 
27 ,27 ,30 ,58 ,63 ,34 
36 ,30 ,34 ,49 ,48 ,34 
33 ,46 ,39 ,48 ,32 ,32 
31 ,43 ,29 ,45 ,17 ,27 
43 ,45 ,26 ,38 ,28 ,27 
35 ,57 ,27 ,37 ,49 ,23 
32 ,61 ,20 ,29 ,50 ,20 
24 ,63 ,18 ,32 ,59 ,21 
29 ,70 ,20 ,37 ,72 ,20 
22 ,73 ,22 ,35 ,72 ,20 
22 ,71 ,23 ,37 ,66 ,23 
19 ,75 ,27 ,27 ,58 ,24 
27 ,87 ,32 ,38 ,58 ,25 
8 ,31 ,22 ,28 ,57 ,28 
6 ,30 ,20 ,28 ,48 ,25 
8 ,27 ,17 ,21 ,47 ,20 
6 ,24 ,15 ,23 ,51 ,20 
12 ,20 ,18 ,22 ,50 ,26 
15 ,25 ,26 ,21 ,47 ,30 
21 ,26 ,29 ,24 ,49 ,30 
18 ,20 ,33 ,20 ,54 ,33 
19 ,25 ,34 ,22 ,55 ,39 
20 ,35 ,29 ,23 ,57 ,40 
25 ,38 ,28 ,27 ,55 ,39 
25 ,40 ,37 ,35 ,50 ,44 
30 ,48 ,40 ,36 ,45 ,51 
32 ,51 ,42 ,51 ,33 ,54 
40 ,48 ,47 ,46 ,35 ,57 
50 ,44 ,52 ,53 ,35 ,57 
53 ,41 ,43 ,46 ,35 ,60 
57 ,42 ,42 ,55 ,38 ,71 
51 ,51 ,34 ,59 ,33 ,72 
49 ,59 ,34 ,61 ,35 ,57 
46 ,54 ,41 ,53 ,43 ,41 
43 ,51 ,43 ,45 ,42 ,35 
45 ,55 ,44 ,38 ,42 ,23 
47 ,47 ,46 ,28 ,44 ,13 
53 ,44 ,50 ,19 ,41 ,15 
53 ,47 ,50 ,13 ,37 ,14 
49 ,46 ,48 ,21 ,40 ,14 
55 ,47 ,50 ,15 ,47 ,15 
50 ,48 ,50 ,18 ,49 ,13 
49 ,49 ,50 ,10 ,48 ,8 
50 ,46 ,50 ,10 ,51 ,8 
56 ,48 ,54 ,7 ,49 ,9 
65 ,51 ,66 ,11 ,48 ,12 
61 ,45 ,73 ,9 ,53 ,14 
47 ,31 ,64 ,9 ,51 ,11 
32 ,20 ,48 ,7 ,46 ,15 
13 ,18 ,50 ,10 ,44 ,20 
24 ,22 ,62 ,10 ,42 ,19 
32 ,25 ,61 ,10 ,39 ,17 
49 ,26 ,53 ,11 ,37 ,17 
46 ,33 ,48 ,8 ,35 ,21 
49 ,45 ,54 ,7 ,34 ,21 
49 ,47 ,65 ,10 ,32 ,18 
61 ,57 ,67 ,14 ,31 ,20 
62 ,70 ,66 ,13 ,27 ,20 
68 ,70 ,61 ,12 ,24 ,19 
73 ,72 ,61 ,9 ,23 ,15 
79 ,80 ,67 ,11 ,22 ,15 
72 ,79 ,53 ,11 ,19 ,14 
57 ,69 ,29 ,9 ,18 ,9 
32 ,60 ,16 ,7 ,20 ,11 
22 ,59 ,14 ,3 ,20 ,17 
11 ,57 ,23 ,2 ,25 ,14 
13 ,54 ,31 ,5 ,27 ,8 
18 ,56 ,37 ,6 ,28 ,8 
22 ,59 ,38 ,10 ,32 ,7 
37 ,59 ,31 ,10 ,37 ,8 
30 ,65 ,32 ,9 ,42 ,11 
30 ,74 ,35 ,10 ,40 ,15 
29 ,60 ,38 ,10 ,31 ,14 
33 ,38 ,34 ,12 ,32 ,14 
26 ,30 ,28 ,8 ,39 ,14 
27 ,30 ,23 ,16 ,40 ,10 
25 ,41 ,24 ,18 ,38 ,10 
24 ,59 ,29 ,24 ,41 ,15 
26 ,63 ,26 ,18 ,44 ,14 
26 ,61 ,22 ,14 ,47 ,9 
24 ,68 ,21 ,20 ,53 ,13 
23 ,70 ,25 ,14 ,55 ,20 
23 ,72 ,24 ,25 ,55 ,23 
23 ,77 ,18 ,24 ,53 ,24 
14 ,79 ,18 ,27 ,49 ,26 
15 ,83 ,20 ,27 ,45 ,27 
12 ,83 ,18 ,18 ,46 ,26 
13 ,77 ,15 ,22 ,45 ,25 
12 ,73 ,15 ,18 ,41 ,24 
16 ,74 ,14 ,25 ,43 ,25 
15 ,76 ,17 ,24 ,47 ,26 
10 ,75 ,17 ,27 ,49 ,31 
14 ,75 ,15 ,25 ,50 ,40 
28 ,80 ,20 ,30 ,53 ,40 
36 ,86 ,17 ,31 ,53 ,29 
36 ,75 ,11 ,40 ,47 ,25 
24 ,50 ,14 ,30 ,43 ,22 
30 ,48 ,18 ,31 ,41 ,18 
26 ,63 ,14 ,22 ,35 ,16 
30 ,76 ,16 ,32 ,46 ,15 
26 ,87 ,18 ,27 ,57 ,10 
29 ,93 ,11 ,30 ,56 ,9 
30 ,99 ,8 ,24 ,65 ,12 
23 ,103 ,10 ,24 ,64 ,11 
27 ,105 ,8 ,24 ,66 ,18 
29 ,99 ,8 ,26 ,75 ,22 
36 ,91 ,10 ,30 ,62 ,22 
35 ,93 ,8 ,32 ,54 ,25 
26 ,92 ,10 ,45 ,50 ,24 
30 ,91 ,12 ,47 ,51 ,23 
24 ,90 ,14 ,56 ,55 ,29 
26 ,93 ,14 ,41 ,55 ,25 
24 ,94 ,15 ,43 ,53 ,18 
27 ,92 ,14 ,36 ,49 ,20 
25 ,92 ,8 ,44 ,50 ,24 
12 ,95 ,5 ,45 ,50 ,30 
6 ,97 ,8 ,57 ,48 ,41 
9 ,104 ,9 ,54 ,49 ,51 
13 ,103 ,10 ,61 ,56 ,54 
16 ,92 ,16 ,47 ,57 ,57 
19 ,90 ,18 ,51 ,51 ,57 
22 ,86 ,21 ,42 ,42 ,56 
25 ,59 ,25 ,43 ,32 ,48 
21 ,37 ,26 ,41 ,32 ,43 
26 ,41 ,29 ,41 ,42 ,45 
24 ,56 ,25 ,42 ,47 ,44 
27 ,60 ,21 ,41 ,43 ,44 
25 ,59 ,21 ,40 ,46 ,49 
28 ,65 ,24 ,38 ,51 ,50 
32 ,60 ,30 ,41 ,57 ,50 
29 ,55 ,29 ,45 ,59 ,49 
29 ,57 ,30 ,43 ,53 ,49 
28 ,59 ,26 ,44 ,48 ,50 
37 ,64 ,41 ,41 ,51 ,48 
36 ,65 ,42 ,51 ,51 ,50 
30 ,68 ,45 ,50 ,45 ,56 
37 ,70 ,44 ,50 ,45 ,59 
37 ,66 ,46 ,38 ,46 ,59 
38 ,62 ,50 ,33 ,43 ,60 
41 ,60 ,51 ,37 ,42 ,60 
37 ,65 ,50 ,43 ,43 ,61 
37 ,68 ,53 ,39 ,44 ,62 
35 ,56 ,47 ,40 ,39 ,51 
33 ,37 ,37 ,35 ,31 ,36 
37 ,27 ,40 ,37 ,28 ,31 
31 ,27 ,32 ,37 ,30 ,37 
28 ,30 ,25 ,43 ,40 ,38 
24 ,32 ,26 ,37 ,53 ,34 
20 ,26 ,27 ,30 ,63 ,46 
21 ,20 ,30 ,29 ,74 ,56 
21 ,26 ,30 ,32 ,80 ,56 
30 ,30 ,22 ,59 ,80 ,57 
28 ,31 ,21 ,69 ,77 ,57 
20 ,32 ,21 ,77 ,76 ,62 
13 ,31 ,15 ,79 ,77 ,66 
16 ,32 ,13 ,79 ,65 ,68 
22 ,34 ,16 ,78 ,58 ,72 
21 ,32 ,15 ,77 ,59 ,78 
15 ,30 ,12 ,80 ,55 ,80 
18 ,31 ,18 ,80 ,50 ,64 
16 ,34 ,23 ,79 ,46 ,58 
15 ,34 ,24 ,79 ,50 ,63 
12 ,33 ,28 ,63 ,54 ,71 
14 ,34 ,26 ,61 ,48 ,64 
23 ,38 ,23 ,59 ,51 ,57 
24 ,42 ,22 ,77 ,61 ,77 
27 ,47 ,19 ,72 ,66 ,97 
22 ,49 ,21 ,61 ,59 ,84 
24 ,48 ,22 ,56 ,44 ,72 
22 ,49 ,27 ,56 ,38 ,71 
29 ,44 ,26 ,64 ,37 ,64 
33 ,40 ,28 ,57 ,38 ,60 
32 ,38 ,36 ,55 ,42 ,59 
29 ,40 ,37 ,41 ,54 ,57 
26 ,48 ,34 ,44 ,61 ,58 
32 ,45 ,27 ,42 ,59 ,69 
26 ,41 ,23 ,53 ,69 ,70 
24 ,41 ,21 ,62 ,75 ,74 
16 ,39 ,20 ,73 ,70 ,89 
16 ,38 ,16 ,80 ,66 ,88 
9 ,39 ,10 ,75 ,64 ,79 
8 ,39 ,11 ,82 ,66 ,77 
6 ,32 ,12 ,75 ,62 ,81 
12 ,29 ,14 ,90 ,59 ,84 
7 ,32 ,16 ,77 ,58 ,89 
8 ,31 ,17 ,86 ,50 ,93 
5 ,31 ,18 ,78 ,51 ,96 
9 ,41 ,18 ,86 ,56 ,101 
14 ,46 ,19 ,82 ,58 ,100 
18 ,46 ,18 ,73 ,62 ,107 
19 ,50 ,16 ,72 ,64 ,117 
21 ,53 ,13 ,67 ,57 ,109 
23 ,52 ,11 ,63 ,44 ,105 
15 ,51 ,14 ,61 ,29 ,85 
19 ,50 ,17 ,68 ,16 ,64 
18 ,50 ,20 ,92 ,23 ,57 
16 ,48 ,20 ,85 ,39 ,57 
16 ,48 ,18 ,76 ,46 ,58 
14 ,54 ,19 ,60 ,61 ,58 
14 ,50 ,18 ,63 ,92 ,57 
18 ,44 ,15 ,67 ,109 ,52 
13 ,44 ,15 ,68 ,103 ,53 
13 ,45 ,17 ,67 ,102 ,56 
13 ,46 ,20 ,66 ,103 ,59 
14 ,46 ,19 ,74 ,95 ,62 
8 ,41 ,17 ,79 ,89 ,62 
9 ,33 ,15 ,77 ,84 ,63 
8 ,32 ,15 ,64 ,83 ,57 
11 ,32 ,14 ,50 ,84 ,31 
6 ,29 ,11 ,30 ,85 ,19 
4 ,25 ,10 ,20 ,89 ,15 
0 ,22 ,14 ,12 ,90 ,23 
6 ,20 ,17 ,36 ,90 ,38 
8 ,17 ,15 ,50 ,95 ,56 
14 ,17 ,15 ,69 ,95 ,65 
12 ,20 ,18 ,60 ,86 ,46 
15 ,19 ,21 ,44 ,72 ,26 
18 ,19 ,21 ,22 ,44 ,22 
19 ,19 ,18 ,15 ,25 ,19 
20 ,19 ,16 ,18 ,23 ,14 
13 ,19 ,19 ,20 ,24 ,21 
18 ,23 ,21 ,18 ,26 ,27 
16 ,29 ,20 ,20 ,29 ,27 
19 ,33 ,18 ,21 ,31 ,28 
23 ,39 ,23 ,27 ,38 ,36 
21 ,46 ,26 ,32 ,45 ,46 
28 ,49 ,26 ,38 ,42 ,49 
24 ,46 ,31 ,38 ,41 ,49 
29 ,43 ,32 ,39 ,38 ,56 
24 ,39 ,27 ,45 ,39 ,61 
26 ,30 ,24 ,44 ,38 ,55 
27 ,28 ,24 ,39 ,33 ,49 
31 ,24 ,28 ,32 ,31 ,48 
35 ,18 ,29 ,29 ,24 ,43 
31 ,16 ,26 ,35 ,23 ,45 
26 ,18 ,26 ,32 ,24 ,46 
24 ,23 ,34 ,31 ,23 ,41 
31 ,23 ,40 ,31 ,29 ,39 
43 ,25 ,32 ,36 ,32 ,43 
46 ,20 ,28 ,45 ,35 ,50 
44 ,15 ,33 ,45 ,37 ,60 
42 ,13 ,35 ,49 ,42 ,70 
43 ,19 ,35 ,54 ,40 ,61 
43 ,27 ,36 ,58 ,39 ,54 
44 ,25 ,29 ,62 ,46 ,52 
42 ,35 ,30 ,54 ,54 ,49 
42 ,56 ,34 ,44 ,54 ,43 
37 ,70 ,36 ,41 ,54 ,38 
40 ,75 ,39 ,49 ,57 ,37 
43 ,80 ,35 ,53 ,58 ,43 
56 ,78 ,29 ,48 ,59 ,49 
51 ,78 ,27 ,51 ,60 ,52 
57 ,88 ,30 ,51 ,66 ,53 
47 ,83 ,97 ,59 ,72 ,55 
47 ,77 ,79 ,59 ,63 ,54 
47 ,77 ,60 ,62 ,53 ,55 
44 ,78 ,61 ,62 ,46 ,59 
47 ,75 ,57 ,51 ,42 ,60 
56 ,72 ,53 ,39 ,38 ,57 
64 ,76 ,60 ,38 ,35 ,56 
68 ,77 ,69 ,37 ,32 ,56 
69 ,77 ,73 ,44 ,37 ,53 
75 ,83 ,74 ,40 ,42 ,50 
65 ,83 ,77 ,38 ,34 ,51 
58 ,73 ,77 ,38 ,24 ,54 
50 ,45 ,76 ,41 ,23 ,52 
59 ,31 ,75 ,46 ,28 ,53 
60 ,38 ,65 ,54 ,33 ,54 
61 ,45 ,48 ,57 ,38 ,55 
60 ,50 ,44 ,59 ,40 ,50 
58 ,56 ,46 ,50 ,46 ,41 
47 ,57 ,45 ,54 ,55 ,38 
37 ,62 ,45 ,47 ,58 ,37 
30 ,65 ,52 ,45 ,66 ,34 
29 ,59 ,57 ,38 ,70 ,36 
28 ,55 ,54 ,40 ,64 ,36 
30 ,51 ,47 ,39 ,66 ,36 
28 ,51 ,43 ,39 ,66 ,38 
27 ,47 ,39 ,40 ,60 ,34 
22 ,41 ,33 ,41 ,56 ,28 
19 ,37 ,32 ,39 ,51 ,30 
18 ,41 ,30 ,30 ,49 ,33 
24 ,43 ,35 ,28 ,50 ,30 
26 ,42 ,50 ,27 ,49 ,33 
25 ,46 ,60 ,29 ,51 ,36 
26 ,45 ,72 ,26 ,57 ,39 
27 ,48 ,65 ,31 ,61 ,42 
32 ,48 ,45 ,26 ,64 ,47 
36 ,46 ,34 ,35 ,51 ,49 
42 ,44 ,29 ,38 ,33 ,45 
40 ,39 ,24 ,48 ,28 ,38 
32 ,42 ,28 ,46 ,37 ,33 
24 ,50 ,33 ,37 ,48 ,36 
22 ,47 ,32 ,30 ,50 ,36 
25 ,38 ,31 ,30 ,53 ,31 
36 ,31 ,32 ,32 ,58 ,30 
36 ,30 ,32 ,37 ,62 ,33 
