San Francisco bikes_available,"San Jose
docks_available"
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
12,15
12,15
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
12,15
12,15
12,15
12,15
12,15
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
11,16
10,17
10,17
10,17
10,17
10,17
10,17
10,17
9,18
9,18
9,18
10,17
10,17
10,17
10,17
10,17
8,19
8,19
8,19
8,19
8,19
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
10,17
10,17
10,17
10,17
10,17
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
10,17
10,17
10,17
10,17
10,17
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,17
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
9,18
