Time,Temp,PM10,PM2.5,Rain,RH,Wind
09:00,14,83,43,0,54,0.8
10:00,15,81,43,0,50,1
11:00,17,76,39,0,44,1
12:00,18,78,41,0,41,1
13:00,18,69,44,0,40,1.2
14:00,18,66,50,0,40,1.1
15:00,18,65,51,0,42,0.9
16:00,17,79,48,0,44,0.9
17:00,16,79,41,0,49,0.7
18:00,15,81,42,0,52,0.9
19:00,15,81,39,0,54,0.7
20:00,14,85,47,0,54,0.7
21:00,14,89,41,0,53,1
22:00,14,71,43,0,54,1.1
23:00,14,68,37,0,54,1.1
00:00,14,56,37,0,54,0.9
01:00,14,61,36,0,53,1.1
02:00,14,45,30,0,54,0.7
03:00,14,37,24,0,55,0.8
04:00,14,26,21,0,56,1.1
05:00,14,35,14,0,56,1.8
06:00,14,33,18,0,57,1.1
07:00,13,41,14,0,57,1.5
08:00,14,33,19,0,55,1.7
09:00,16,39,18,0,51,0.8
10:00,17,40,18,0,47,0.9
11:00,19,46,18,0,44,0.8
12:00,20,50,19,0,44,0.8
13:00,21,49,26,0,44,0.9
14:00,21,66,35,0,46,2.4
15:00,20,79,32,0,48,1.5
16:00,19,89,41,0,51,1.5
17:00,18,87,45,0,54,0.8
18:00,17,79,46,0,58,1.1
19:00,16,80,41,0,58,0.6
20:00,16,77,36,0,57,0.8
21:00,15,75,36,0,59,0.6
22:00,15,60,31,0,60,0.6
23:00,15,48,28,0,61,0.6
00:00,14,38,23,0,62,1.3
01:00,14,40,26,0,63,0.4
02:00,14,35,21,0,63,0.7
03:00,14,34,25,0,64,1.7
04:00,14,28,20,0,64,0.8
05:00,14,27,18,0,64,0.9
06:00,13,31,15,0,65,0.7
07:00,13,36,18,0,65,1
08:00,14,42,24,0,63,0.8
09:00,16,52,27,0,58,0.4
10:00,19,63,39,0,51,0.6
11:00,20,74,42,0,47,0.6
12:00,21,71,43,0,44,0.7
13:00,22,71,37,0,42,0.1
14:00,22,59,33,0,43,1.8
15:00,21,61,32,0,45,1.6
16:00,20,57,31,0,46,1.4
17:00,19,60,32,0,50,0.9
18:00,18,54,28,0,53,0.9
19:00,17,50,33,0,55,0.7
20:00,17,51,31,0,57,1.1
21:00,17,44,36,0,58,0.5
22:00,16,50,27,0,59,0.7
23:00,16,53,32,0,60,0.6
00:00,16,59,27,0,62,0.6
01:00,15,54,28,0,63,0.5
02:00,15,48,32,0,64,0.5
03:00,15,49,31,0,66,0.2
04:00,15,47,32,0,67,0.2
05:00,14,51,24,0,69,0.2
06:00,14,55,28,0,71,0.3
07:00,14,56,35,0,70,0.3
08:00,15,54,41,0,68,0.4
09:00,18,54,46,0,59,0.1
10:00,20,64,50,0,50,0.7
11:00,23,69,46,0,41,0.9
12:00,23,65,54,0,42,1.5
13:00,23,63,43,0,40,1
14:00,24,52,42,0,36,0.8
15:00,23,47,27,0,42,0.8
16:00,22,50,27,0,46,1.3
17:00,21,58,32,0,52,1
18:00,19,69,31,0,56,0.6
19:00,18,54,36,0,58,1.2
20:00,18,52,32,0,59,0.7
21:00,17,43,33,0,59,0.8
22:00,17,38,28,0,60,0.4
23:00,17,38,31,0,61,0.7
00:00,17,38,27,0,61,0.6
01:00,17,42,28,0,60,1.1
02:00,17,40,21,0,60,0.2
03:00,17,38,29,0,63,0.4
04:00,16,43,29,0,66,0.4
05:00,16,46,36,0,66,0.4
06:00,16,53,36,0,66,0.5
07:00,17,56,38,0,65,0.4
08:00,18,66,39,0,61,0.7
09:00,19,80,50,0,58,0.4
10:00,21,87,57,0,52,0.5
11:00,21,99,60,0,51,0.5
12:00,23,93,58,0,43,0.2
13:00,24,92,55,0,42,1.1
14:00,23,94,56,0,44,1.1
15:00,24,91,41,0,43,1.1
16:00,23,86,31,0,44,1.2
17:00,21,64,21,0,49,0.8
18:00,20,57,19,0,52,0.5
19:00,20,48,19,0,54,1
20:00,19,41,20,0,56,0.6
21:00,19,38,14,0,57,0.4
22:00,19,43,19,0,57,0.4
23:00,19,57,22,0,58,0.3
00:00,19,66,27,0,59,0.3
01:00,19,80,37,0,61,0.3
02:00,19,84,38,0,62,0.4
03:00,19,89,43,0,62,0.1
04:00,19,98,45,0,63,0.4
05:00,19,104,49,0,64,0.4
06:00,18,111,60,0,67,0.2
07:00,18,98,56,0,69,0.6
08:00,18,99,60,0,68,0.3
09:00,19,110,71,0,63,0.9
10:00,20,131,75,0,57,0.7
11:00,22,135,86,0,52,1
12:00,22,123,68,0,53,1.1
13:00,21,99,61,0,60,2
14:00,20,66,39,0,64,1.6
15:00,19,52,30,0,68,1.3
16:00,19,47,26,0,70,1.5
17:00,18,46,26,0,73,1.1
18:00,18,44,24,0,75,1.6
19:00,17,35,18,0,77,1.5
20:00,16,24,10,0,78,1.8
21:00,16,23,10,0.6,80,0.6
22:00,16,17,6,2,82,0.7
23:00,16,8,0,1.6,84,0.5
00:00,16,7,0,2.4,85,0.1
01:00,16,8,0,1.8,88,0.7
02:00,16,15,5,1.4,88,0.4
03:00,16,28,14,0,88,0.5
04:00,17,23,11,0.6,86,0.2
05:00,17,15,5,0.2,88,0.3
06:00,16,19,7,0,87,1.3
07:00,15,20,8,0,85,0.6
08:00,15,20,8,0,82,0.9
09:00,15,8,0,0,77,0.8
10:00,17,8,0,0,72,1
11:00,18,9,0,0,66,2
12:00,19,10,0,0,62,2.7
13:00,19,16,5,0,60,1.3
14:00,20,17,6,0,58,1.1
15:00,20,18,11,0,56,1.1
16:00,19,26,3,0,59,0.9
17:00,17,25,7,0,64,1.4
18:00,16,23,8,0,67,1
19:00,15,27,8,0,66,0.8
20:00,15,28,11,0,67,0.7
21:00,15,30,15,0,65,2
22:00,14,22,14,0,65,1.4
23:00,14,23,11,0,67,1.3
00:00,14,19,8,0,67,1.5
01:00,14,21,9,0,68,0.8
02:00,14,19,9,0,68,0.8
03:00,13,17,9,0,69,1.3
04:00,13,15,9,0,69,1.3
05:00,13,18,12,0,68,1.2
06:00,13,22,15,0,68,1.2
07:00,14,24,13,0,67,2.1
08:00,15,25,14,0,62,2.4
09:00,17,27,13,0,57,1.5
10:00,18,33,10,0,52,1.9
