忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
36,25,75,13,0,0.6
34,30,69,14,0,0.3
44,31,59,17,0,0.4
48,40,55,18,0,0.5
61,30,52,20,0,0.3
60,31,54,21,0,1.8
56,22,57,20,0,1.7
51,32,57,20,0,1.1
51,27,59,19,0,1.9
51,30,59,18,0,1.4
54,24,61,17,0,1.5
57,24,69,17,0,0.8
63,24,71,17,0,0.4
64,26,72,17,0,0.5
64,30,72,17,0,0.4
69,32,72,17,0,0.3
85,45,73,17,0,0.7
99,47,72,17,0,0.5
89,56,75,16,0,0.9
80,41,75,16,0,0.5
71,43,78,15,0,0.6
75,36,76,15,0,0.5
63,44,59,15,0,0.5
64,45,56,15,0,0.8
65,57,54,15,0,0.9
74,54,45,16,0,0.6
71,61,41,18,0,1.1
77,47,38,19,0,1.6
74,51,32,20,0,1
75,42,28,21,0,1.1
71,43,27,22,0,0.9
82,41,31,21,0,1.1
88,41,31,21,0,1.4
92,42,31,20,0,1
88,41,30,19,0,1.1
90,40,33,18,0,0.6
96,38,37,17,0,0.8
98,41,40,16,0,1.2
104,45,43,16,0,1.2
99,43,45,15,0,0.6
98,44,47,15,0,0.4
83,41,46,14,0,0.2
81,51,56,13,0,0.3
84,50,58,13,0,0.2
76,50,56,13,0,0.4
67,38,53,13,0,0.4
54,33,57,13,0,0.2
53,37,62,12,0,0.3
54,43,57,13,0,0.3
49,39,48,15,0,0.1
62,40,41,18,0,0.7
65,35,33,20,0,0.8
76,37,30,22,0,1.2
83,37,33,23,0,1.3
89,43,34,23,0,1.4
90,37,33,23,0,1.8
91,30,31,23,0,1.6
83,29,35,22,0,1.1
94,32,47,20,0,1.1
116,59,62,19,0,1.1
137,69,69,18,0,0.9
144,77,72,17,0,0.7
144,79,74,17,0,0.3
154,79,76,17,0,0.3
158,78,78,16,0,0.3
157,77,78,16,0,0.5
146,80,77,16,0,0.3
150,80,78,15,0,0.3
150,79,77,15,0,0.4
142,79,73,15,0,0.6
111,63,67,15,0,0.4
92,61,69,15,0,0.5
91,59,71,15,0,0.5
106,77,63,16,0,0.2
110,72,52,19,0,0.4
108,61,44,21,0,0.5
105,56,39,23,0,0.4
103,56,32,24,0,1.1
102,64,37,24,0,2.3
96,57,27,24,0,2.1
82,55,23,24,0,1.3
69,41,25,23,0,1.5
70,44,24,22,0,0.9
85,42,26,21,0,1
99,53,27,21,0,0.6
109,62,34,21,0,0.5
123,73,38,21,0,0.4
138,80,40,21,0,0.1
144,75,43,20,0,0.5
142,82,44,20,0,0.6
134,75,48,20,0,0.4
125,90,52,19,0,0.4
125,77,58,19,0,0.2
128,86,64,18,0,0.1
132,78,68,18,0,0.3
124,86,63,18,0,0.1
126,82,61,18,0,0.3
120,73,55,19,0,0.5
110,72,47,21,0,0.5
94,67,40,23,0,0.4
94,63,36,26,0,0.1
102,61,36,27,0,0.7
126,68,49,25,0,1.6
130,92,43,26,0,1.3
140,85,44,25,0,1.2
114,76,40,23,0,0.8
111,60,41,23,0,0.9
106,63,48,22,0,0.7
120,67,56,20,0,0.9
123,68,58,20,0,0.9
125,67,70,19,0,1
113,66,80,18,0.2,1.5
104,74,84,18,0.6,0.6
98,79,84,17,0,2
97,77,83,17,0,1.2
86,64,82,18,0.2,1.5
72,50,84,18,3.4,0.8
53,30,92,18,7.6,1
34,20,96,18,3,0.4
31,12,97,18,0,0.9
47,36,96,18,0,0.3
75,50,93,19,0,0.5
98,69,84,21,0,0.5
90,60,74,23,0,0.8
65,44,70,24,0,1.1
35,22,70,24,0,1.8
33,15,66,24,0,1.2
31,18,63,25,0,1.5
33,20,63,25,0,1
27,18,66,24,0,1.2
31,20,69,22,0,0.7
38,21,74,21,0,0.6
48,27,77,20,0,0.6
59,32,79,20,0,1.4
61,38,79,20,0,0.4
64,38,80,19,0,0.4
68,39,82,19,0,0.3
66,45,82,19,0,0.3
58,44,81,18,0,0.3
44,39,81,18,0,0.9
40,32,82,17,0,0.5
39,29,82,17,0,0.5
40,35,83,17,0,0.4
45,32,83,17,0,0.2
49,31,84,17,0,0.4
66,31,80,18,0,0.9
67,36,74,20,0,0.5
71,45,68,22,0,0.4
76,45,63,24,0,0.2
77,49,57,26,0,0.8
83,54,56,26,0,1.6
89,58,58,24,0,2
80,62,55,24,0,1.5
88,54,62,23,0,1.6
82,44,66,21,0,1
80,41,72,19,0,0.8
79,49,73,19,0,1
78,53,73,19,0,1.2
89,48,73,19,0,0.5
94,51,75,19,0,0.7
97,51,75,18,0,1.1
99,59,78,17,0,1
96,59,79,17,0,1.1
99,62,79,16,0,0.8
89,62,79,16,0,1.6
78,51,79,16,0,0.4
63,39,79,16,0,1.5
53,38,78,16,0,0.9
51,37,78,16,0,0.8
57,44,73,17,0,0.8
53,40,65,19,0,0.7
56,38,56,22,0,0.6
60,38,56,23,0,1.7
78,41,53,24,0,1.2
97,46,54,24,0,1.6
103,54,55,24,0,1.9
99,57,53,24,0,1.1
106,59,58,23,0,2.1
115,50,63,21,0,0.8
124,54,68,19,0,1.1
110,47,69,18,0,0.7
101,45,69,18,0,0.6
87,38,68,18,0,0.4
79,40,70,17,0,1
67,39,71,17,0,0.7
70,39,74,17,0,0.6
72,40,75,16,0,0.4
70,41,75,16,0,0.6
61,39,76,15,0,1.4
53,30,76,15,0,0.8
42,28,75,15,0,0.5
40,27,74,16,0,0.8
33,29,73,16,0,1.3
38,26,71,16,0,0.7
44,31,68,18,0,1
56,26,63,19,0,0.5
68,35,57,22,0,0.8
72,38,53,23,0,1.3
76,48,52,24,0,1.3
66,46,51,24,0,1.4
68,37,52,23,0,1.3
66,30,55,23,0,1.9
68,30,60,21,0,1.2
59,32,60,20,0,0.7
52,37,63,19,0,1
44,30,65,18,0,1.3
45,32,67,18,0,0.6
48,31,67,18,0,0.5
62,42,69,18,0,0.4
66,39,71,18,0,0.6
67,37,72,17,0,0.4
61,32,75,17,0,0.3
81,40,75,17,0,0.6
88,43,77,17,0,0.5
96,43,77,17,0,0.1
84,38,77,17,0,0.5
91,46,75,17,0,0.5
90,41,72,18,0,0.4
95,45,69,20,0,0.6
90,35,68,20,0,1
82,39,71,20,0,2
75,30,71,20,0,1.5
60,39,66,21,0,0.6
62,28,63,22,0,1.1
49,28,61,22,0,0.4
51,20,61,22,0,0.7
46,26,61,22,0,0.9
54,27,67,21,0,1.5
51,30,72,20,0,1
50,28,79,19,0,1.5
52,33,79,18,0,1.4
54,29,76,19,0,1.2
56,37,77,18,0,0.3
50,33,78,18,0,0.5
54,33,81,18,0,0.6
59,31,82,17,0,0.4
65,28,83,17,0,0.5
65,33,83,17,0,0.2
54,35,83,17,0,0.2
45,37,83,17,0,0.1
40,37,81,17,0,0.3
42,37,77,18,0,0.3
45,43,71,20,0,0.3
64,44,62,22,0,0.9
75,48,52,25,0,1.7
69,35,46,26,0,1.8
46,29,46,26,0,1.8
33,21,52,25,0,0.9
37,28,59,24,0,0.6
45,29,68,22,0.2,0.7
56,38,74,22,0,0.4
62,44,77,21,1,0.8
71,54,85,20,2,0.4
81,57,86,20,0.2,0.6
80,63,84,20,0,0.6
77,56,84,20,0,0.6
59,49,84,20,0,0.6
49,41,82,20,0,0.3
31,30,83,20,0,0.2
28,27,83,20,0,0.1
24,12,84,19,0,0.4
23,15,84,19,0,0.3
18,19,86,19,0,0.4
24,29,87,19,0,0.3
31,32,86,19,0,0.4
34,28,79,21,0,0.6
33,31,74,22,0,0.7
33,27,69,24,0,0.5
36,31,68,24,0,2.3
36,29,68,24,0,2.3
37,33,63,25,0,1.7
42,27,65,25,0,2.9
35,27,71,23,0,2.4
39,22,74,22,0,1.6
32,30,76,21,0,1.1
40,30,80,20,0,0.9
38,42,81,20,0,0.8
52,35,82,20,0,0.6
53,27,82,20,0,0.7
59,27,83,19,0,0.8
62,37,84,19,0,0.7
72,51,86,19,0,0.7
78,45,87,19,0,0.8
75,44,88,18,0,0.4
75,40,88,18,0,0.6
67,47,87,19,0,0.4
57,44,85,19,0,0.5
52,40,85,19,0,0.3
54,37,85,19,0,0.4
65,38,82,20,0,0.5
69,48,78,22,0,0.5
87,53,76,23,0,0.8
97,61,79,21,0,1.5
106,58,81,21,0,0.8
95,55,79,22,0,1.2
73,47,77,22,0,1.4
53,45,79,21,0,1.3
51,46,82,20,0,1.2
56,42,83,20,0,0.8
62,35,87,19,0,0.9
49,32,87,19,0,0.6
45,30,88,18,0,0.9
38,36,88,18,0,0.7
40,28,85,18,0,0.8
36,31,85,18,0,0.6
31,22,83,18,0,0.6
27,23,83,18,0,0.7
22,21,83,19,0,0.6
28,26,85,19,0,0.9
44,30,91,18,0,0.8
45,29,96,17,0,1
31,24,93,17,0,1.2
20,15,86,18,0.6,1.2
22,8,91,18,5.2,0.7
35,5,90,19,0,0.6
40,18,81,22,0,0.4
48,25,74,23,0,0.6
39,29,63,26,0,0.4
27,21,60,27,0,0.7
16,18,61,26,0,1.8
24,13,71,23,0,1.9
26,11,73,22,0,1.5
31,11,75,21,0,0.8
25,15,76,21,0,0.6
28,22,77,21,0,0.4
29,22,80,20,0,0.5
36,27,81,20,0,0.5
33,20,82,19,0,0.4
36,26,83,19,0,0.4
35,29,84,19,0,0.4
43,36,85,18,0,0.4
43,32,84,18,0,0.6
42,28,84,18,0,0.7
35,28,85,18,0,0.7
36,27,85,18,0,0.7
45,33,86,19,0,0.7
61,35,86,19,0,0.5
82,45,84,19,0,0.7
93,47,80,20,0,1
99,44,79,21,0,1
104,41,75,22,0,0.7
103,48,70,23,0,0.3
93,43,63,25,0,1.5
74,40,59,26,0,1.4
55,33,60,26,0,0.9
51,36,62,25,0,0.9
60,44,64,25,0,0.9
64,36,70,23,0,1.1
56,33,73,23,0,0.5
55,30,73,23,0,0.8
59,32,76,22,0,0.3
65,32,77,22,0,0.6
62,29,78,22,0,0.4
65,38,79,22,0,0.1
77,41,82,21,0,0.4
85,46,84,21,0,0.4
86,46,84,21,0,0.3
88,53,86,20,0,0.6
79,48,87,20,0,0.2
71,55,86,20,0,0.5
61,51,85,20,0,0.2
72,54,75,22,0,0.1
87,46,71,24,0,0.4
97,28,69,25,0,0.9
81,27,72,24,0,1.7
56,36,70,25,0,1.4
40,33,66,26,0,1
42,31,66,25,0,1.9
53,43,72,24,0,1.7
48,35,77,22,0,1
42,32,81,21,0,1.3
38,24,85,20,0,1.2
43,29,85,19,0,0.8
38,22,83,19,0,0.9
33,22,81,19,0,0.8
31,19,81,19,0,0.8
34,27,84,18,0,1
40,32,85,18,0,1.2
47,30,84,18,0,0.8
44,21,84,18,0,1.1
37,14,83,18,0,0.6
28,19,84,18,0,1.1
33,21,85,18,0,1.2
26,18,84,18,0,1.4
21,19,82,19,0,1
22,18,78,20,0,0.8
26,18,74,21,0,0.9
36,18,70,22,0,1.3
40,27,64,24,0,0.9
44,26,61,25,0,1.8
37,27,62,25,0,2.2
41,18,70,23,0,2.8
51,25,75,22,0,2.1
59,25,79,21,0,2.5
54,27,83,20,0,0.8
44,20,86,18,0,1.3
30,14,84,18,0,0.9
24,19,83,18,0,1.3
16,12,81,18,0,1.5
12,13,81,18,0,1.1
5,6,81,18,0,0.9
3,9,82,18,0,1
8,9,82,18,0,0.6
10,13,82,18,0,0.8
12,11,84,18,0,1.3
18,9,84,18,0,0.7
22,6,83,18,0,0.6
21,10,84,17,0,0.7
20,9,85,18,0,1.3
21,9,79,19,0,0.5
29,14,71,21,0,0.7
33,24,65,24,0,0.2
46,35,57,26,0,0.7
51,36,55,27,0,0.8
54,32,57,27,0,1.8
46,28,51,28,0,1.5
36,18,52,27,0,1.3
32,18,61,25,0,1.4
35,10,67,23,0,1.2
45,19,78,20,0,1
47,20,82,19,0,0.8
47,25,84,18,0,0.9
42,20,84,18,0,0.7
41,26,83,19,0,0.5
35,28,82,19,0,1
31,37,82,19,0,0.6
27,30,82,19,0,0.8
23,25,81,19,0,0.7
24,22,83,18,0,1.2
20,26,84,18,0,0.9
25,16,83,17,0,0.7
22,12,82,17,0,0.7
25,7,82,17,0,1.4
24,18,76,17,0,1.1
29,15,69,19,0,0.9
29,14,62,21,0,1
34,9,62,20,0,1.3
35,8,58,21,0,1
38,12,57,21,0,1.3
35,10,57,21,0,2.1
33,18,59,19,0,1.6
45,11,61,17,0,1.1
40,11,65,16,0,1.1
40,8,67,15,0,1
25,15,69,14,0,1.1
29,14,70,14,0,0.7
23,12,70,14,0,0.5
15,6,69,15,0,0.8
9,7,70,14,0,1
9,8,70,14,0,0.6
22,6,70,14,0,0.7
27,8,70,14,0,1
36,6,70,14,0,1
30,12,70,14,0,0.9
25,15,71,14,0,0.5
12,21,73,14,0,0.5
16,18,72,14,0,0.8
24,19,71,15,0,1
34,20,69,16,0,0.3
46,25,67,17,0,0.8
50,25,63,18,0,0.5
64,30,61,19,0,0.8
68,32,61,20,0,0.2
85,40,60,21,0,0.8
94,50,59,21,0,0.6
102,53,61,21,0,0.9
100,57,63,20,0,0.9
102,51,66,19,0,1.2
104,49,68,19,0,0.6
106,46,71,18,0,0.6
98,43,72,17,0,1.4
87,45,72,18,0,0.7
79,47,71,18,0,0.5
81,53,71,18,0,0.4
87,53,69,19,0,0.5
92,49,72,19,0,0.5
89,55,74,18,0,0.4
98,50,75,18,0,0.7
103,49,77,18,0,0.4
98,50,78,18,0,0.3
94,56,74,19,0,0.3
89,65,67,21,0,0.7
105,61,60,23,0,1.1
82,47,53,26,0,1.2
63,32,49,27,0,1.5
38,13,43,29,0,1.8
41,24,45,29,0,1.6
74,32,55,27,0,2.3
86,49,57,26,0,1.7
94,46,58,26,0,1.9
82,49,68,23,0,1.1
92,49,74,22,0,0.7
106,61,74,21,0,0.6
114,62,74,21,0,0.7
113,68,77,20,0,1.4
107,73,78,19,0,0.7
99,79,78,19,0,0.7
103,72,80,18,0,0.7
84,57,80,17,0,0.6
60,32,80,17,0,0.9
46,22,78,16,0,0.9
38,11,75,16,0,1
41,13,74,16,0,0.8
32,18,74,16,0,0.7
41,22,73,16,0,0.6
53,37,71,16,0,0.8
56,30,68,17,0,0.6
44,30,64,18,0,0.6
31,29,63,19,0,0.9
31,33,64,19,0,0.9
34,26,65,19,0,1.2
38,27,65,19,0,1.2
39,25,64,19,0,0.9
37,24,69,18,0,1.3
34,26,70,17,0,1.4
35,26,72,17,0,0.8
31,24,73,17,0,1
22,23,74,16,0,1
20,23,77,16,0,1.2
20,23,77,16,0,0.7
25,14,79,16,0,0.8
16,15,80,16,0,0.6
20,12,80,16,0,0.6
21,13,81,15,0,0.5
29,12,82,15,0,0.6
21,16,82,15,0,0.6
19,15,81,15,0,0.8
13,10,82,15,0,0.7
25,14,80,16,0,0.2
35,28,73,18,0,0.7
48,36,69,19,0,1.5
49,36,64,21,0,1
57,24,64,21,0,1.5
63,30,66,21,0,1.9
65,26,66,21,0,1
59,30,65,21,0,1.8
56,26,66,20,0,0.9
58,29,67,20,0,0.8
62,30,70,20,0,1
62,23,75,19,0,1
64,27,76,18,0,1
66,29,78,18,0,1.4
63,36,78,18,0,0.8
53,35,80,18,0,0.8
45,26,85,17,0,0.7
41,30,85,17,0,0.8
45,24,84,17,0,0.7
38,26,83,17,0,0.6
29,24,83,17,0,1.2
16,27,86,17,0,0.8
13,25,86,16,0,0.8
11,12,85,16,0,1.3
15,6,81,16,0,1.2
20,9,78,17,0,0.8
30,13,78,18,0,1.2
40,16,74,19,0,0.4
46,19,67,21,0,0.7
48,22,64,22,0,1
47,25,63,22,0,1.3
44,21,62,22,0,1.2
47,26,62,23,0,1
50,24,64,22,0,2.2
58,27,71,20,0,2.3
53,25,75,18,0,1.2
51,28,77,18,0,0.7
51,32,76,18,0,0.7
52,29,76,18,0,0.7
46,29,76,18,0,0.7
40,28,76,18,0,1
38,26,76,18,0,0.7
41,26,76,18,0,0.6
38,24,77,18,0,0.8
41,29,79,18,0,0.5
37,24,80,17,0,0.8
38,22,81,17,0,1.3
28,21,80,17,0,0.6
29,20,80,17,0,0.7
25,21,78,18,0,0.6
28,29,74,19,0,1
30,29,69,20,0,1.2
40,28,66,21,0,0.8
43,24,61,23,0,0.8
50,25,61,23,0,1.7
48,30,63,23,0,1.6
54,29,63,22,0,1.7
55,26,68,21,0,1.3
58,22,71,21,0,1
59,21,73,20,0,0.7
62,29,75,19,0,0.8
67,36,76,19,0,0.7
63,37,78,18,0,0.8
55,29,79,18,0,0.9
41,23,78,18,0,0.6
38,24,79,18,0,0.7
36,27,80,17,0,0.6
47,29,80,17,0,0.9
48,28,81,17,0,0.7
46,24,82,17,0,0.5
28,16,82,17,0,1.5
21,18,82,17,0,1.1
20,16,80,18,0,0.7
31,21,75,19,0,0.3
40,16,69,21,0,0.5
46,19,65,23,0,0.5
48,22,59,25,0,0.4
52,33,57,26,0,1.6
59,38,70,22,0,3.2
67,35,78,19,0,1.5
73,28,78,19,0,1.8
69,26,79,19,0,1
64,33,79,19,0,0.9
52,31,79,19,0,0.5
47,31,77,20,0,0.3
43,31,72,21,0,0.7
50,33,75,21,0,0.9
64,41,78,20,0,0.5
77,42,76,21,0,0.5
78,37,75,21,0,0.5
61,36,74,21,0,0.2
50,30,76,21,0,0.3
43,37,79,20,0,0.4
56,37,80,20,0,0.2
68,38,80,20,0,0.4
81,41,79,20,0,0.9
78,37,81,20,0,0.9
68,37,74,22,0,1
69,35,73,22,0,1.3
77,33,68,23,0,1.3
81,37,67,23,0,1
70,31,62,23,0,1.4
60,28,57,23,0,1.3
46,24,56,23,0,1.5
45,20,55,22,0,1.1
41,21,56,21,0,1.3
55,21,59,19,0,1.3
48,30,61,17,0,1
47,28,64,16,0,0.8
35,20,67,16,0,0.8
26,13,67,16,0,0.7
23,16,66,16,0,1.2
21,22,66,16,0,1.2
25,21,67,15,0,2.2
16,15,68,15,0,0.7
17,18,68,15,0,0.6
23,16,67,15,0,1.7
28,15,67,16,0,0.9
38,12,69,15,0,1
36,14,76,15,0.2,0.9
40,23,79,14,0.2,1.1
30,24,82,15,0.2,0.9
38,27,82,15,0,0.5
32,22,80,15,0,0.7
33,24,78,16,0,1.2
24,22,71,17,0,1.4
27,29,69,18,0,0.9
33,33,66,18,0,0.9
48,32,66,17,0,1
62,29,67,17,0,1.1
61,26,70,16,0,0.8
55,32,73,15,0,0.9
44,26,73,15,0,0.9
46,24,77,14,0,1.1
33,16,82,14,0.2,0.8
19,16,85,14,0,0.5
3,9,84,13,0,1
6,8,84,13,0,0.7
5,6,85,13,0,0.9
9,12,84,13,0,0.8
6,7,84,13,0,0.7
6,8,84,13,0,0.9
10,5,83,13,0,1.1
16,9,82,13,0,1
25,14,82,13,0,0.9
26,18,83,14,0,0.5
35,19,80,15,0,0.7
42,21,79,15,0,1
47,23,77,15,0,0.8
44,15,76,15,0,0.9
42,19,76,15,0,0.7
42,18,79,15,0,1
41,16,79,15,0,0.8
42,16,80,15,0,0.9
31,14,82,14,0,1
28,14,83,14,0,1.1
24,18,84,15,0.2,0.7
26,13,84,15,0,0.4
25,13,85,14,0,0.8
23,13,87,14,0.2,0.8
25,14,90,14,1.2,0.7
17,8,91,14,0,0.5
12,9,90,14,0,0.7
7,8,90,14,0.2,0.8
11,11,91,14,0.2,0.7
7,6,91,14,0.8,1
6,4,92,14,0.8,0.6
10,0,92,14,0,0.5
11,6,91,14,0,0.8
9,8,88,14,0,0.9
7,14,84,15,0,0.9
17,12,82,15,0,1.7
31,15,78,16,0,0.7
36,18,77,16,0,0.9
38,19,77,16,0,0.9
40,20,75,17,0,1.1
42,13,75,17,0,1.1
41,18,75,16,0,0.9
33,16,76,16,0,0.8
30,19,78,15,0,0.7
31,23,80,15,0,0.7
33,21,82,14,0,0.5
37,28,83,14,0,0.6
35,24,84,14,0,0.6
37,29,84,14,0,0.5
36,24,85,14,0,0.5
35,26,85,14,0,0.5
36,27,83,14,0,0.4
33,31,83,15,0,0.5
35,35,83,15,0,0.6
32,31,84,15,0,0.4
33,26,85,15,0,0.3
33,24,84,15,0,0.4
39,31,79,17,0,0.3
54,43,71,20,0,0.1
68,46,66,21,0,1
75,44,62,23,0,1.4
74,42,58,24,0,0.7
70,43,58,24,0,0.7
64,43,62,24,0,2.2
68,44,66,23,0,1.8
69,42,70,21,0,0.8
84,42,73,21,0,0.7
86,37,76,20,0,1.3
92,40,79,20,0,0.4
89,43,80,20,0,0.4
84,56,81,19,0,0.9
85,51,83,19,0,0.4
86,57,85,19,0,0.5
99,58,85,19,0,0.3
99,67,86,18,0,0.2
109,64,87,18,0,0.2
118,72,85,18,0,0.6
121,75,86,18,0,0.6
119,73,88,18,0,0.9
108,65,89,18,0,0.3
112,62,86,19,0,0.3
124,69,79,20,0,0.7
131,69,71,22,0,0.5
136,68,64,24,0,0.8
122,64,57,25,0,1.4
124,77,59,26,0,1.6
126,75,61,25,0,1.6
119,64,53,26,0,1.2
103,46,57,26,0,1.8
96,44,62,24,0,1.6
98,48,64,23,0,1.1
90,47,62,23,0,0.5
79,44,65,23,0,0.5
81,47,66,23,0,0.2
92,54,72,22,0,0.6
95,59,76,21,0,0.4
97,60,76,21,0,0.4
92,59,74,21,0,0.5
91,61,74,21,0,0.6
88,65,75,21,0,0.3
89,61,78,20,0,0.2
81,62,79,20,0,0.3
73,58,79,20,0,0.4
72,63,83,20,0,0.1
75,58,78,20,0,0.5
74,53,70,22,0,0.4
64,45,60,25,0,0.4
53,44,53,27,0,0.8
45,43,49,29,0,1.5
48,35,50,29,0,1.5
57,32,51,29,0,1.5
67,39,57,28,0,2.3
71,45,63,26,0,2
64,44,65,26,0,1.4
65,36,68,25,0,0.5
61,32,70,25,0,0.5
70,35,70,25,0,0.2
65,36,71,25,0,0.2
67,35,71,25,0,0.2
70,37,73,25,0,0.7
79,42,74,24,0,0.4
80,47,74,24,0,0.5
77,47,77,23,0,0.4
69,47,80,23,0,0.5
70,44,80,23,0,0.1
66,47,81,22,0,0.8
74,56,85,22,0,0.5
77,64,86,22,0,0.4
89,68,83,22,0,0.4
93,69,87,22,0.6,0.4
95,75,85,23,0.2,0.5
86,65,80,24,0,0.7
78,58,75,26,0,0.9
79,50,70,27,0,1.4
89,59,67,27,0,1.5
98,60,67,27,0,1.6
103,61,67,27,0,1.4
100,60,71,27,0,1.2
102,58,75,26,0,1.1
94,47,79,25,0,1
90,37,81,24,0,0.8
74,30,81,24,0,0.3
53,29,82,24,0,0.7
40,28,83,24,0,0.6
40,30,82,24,0,0.5
48,28,83,24,0,0.6
50,27,83,24,0,0.5
42,22,83,24,0,0.5
37,19,82,24,0,0.6
35,18,83,24,0,0.4
41,24,85,24,0,0.2
43,26,87,23,0,0.1
42,25,85,24,0,0.4
47,26,80,25,0,0.7
58,27,73,26,0,0.8
68,32,68,27,0,1
72,36,63,28,0,1.5
65,42,59,29,0,1.8
65,40,65,29,0,2.1
66,32,73,27,0,2
66,24,78,26,0,1.7
65,22,76,26,0,1.3
64,25,76,26,0,1.6
69,36,80,25,0,1.4
71,36,82,25,0,1
72,29,81,25,0,1.4
55,25,79,25,0,1.8
50,25,78,25,0,1.7
37,18,78,24,0,1.9
40,16,78,24,0,1.2
40,7,78,24,0,1.3
40,6,77,24,0,0.9
35,10,77,23,0,0.8
36,8,78,23,0,0.7
40,13,78,23,0,0.9
47,9,79,23,0,0.6
53,24,77,24,0,1.6
58,24,72,25,0,1.8
57,22,64,26,0,2
52,16,57,28,0,2
52,19,51,29,0,2.1
55,26,44,30,0,2.6
61,28,43,31,0,2.3
83,28,49,30,0,2.1
87,29,55,29,0,2.2
85,33,63,27,0,2.3
72,26,68,26,0,1.5
69,24,70,25,0,1.5
69,20,74,25,0,2.4
59,25,77,24,0,1.8
49,21,78,24,0,2.1
44,21,77,24,0,2.5
42,15,77,24,0,1.5
43,20,77,24,0,1.2
44,16,77,24,0,1
44,22,78,23,0,1.1
51,20,81,23,0,0.7
55,21,80,23,0,0.8
52,23,79,23,0,0.4
43,25,81,22,0,0.6
39,25,78,23,0,0.7
49,32,69,25,0,0.8
58,29,54,28,0,0.7
61,26,41,31,0,0.8
56,25,38,32,0,1.4
71,33,58,29,0,3.1
80,38,62,29,0,2
80,30,64,28,0,1.5
56,26,55,28,0,1.3
37,26,58,27,0,1.1
40,25,65,26,0,0.9
43,26,67,25,0,0.7
43,29,72,25,0,0.8
46,32,75,24,0,1.2
40,32,72,24,0,0.7
48,36,84,22,0,0.7
46,41,86,22,0,0.7
62,47,84,23,0,0.8
73,49,84,23,0,0.9
79,57,83,23,0,0.6
80,51,79,23,0,0.5
81,55,78,23,0,0.7
77,44,81,22,0,0.5
80,49,84,22,0,0.7
69,44,86,22,0,1.1
68,44,83,23,0,0.8
66,45,76,24,0,0.1
72,47,67,26,0,1.1
79,53,63,27,0,1.6
95,60,65,27,0,1.3
102,75,73,25,0,1.2
116,82,76,24,0,2
112,78,81,23,0,1.7
122,75,83,22,0,1.1
123,76,81,22,0,0.8
128,76,82,22,0,1
128,72,82,22,0,1
119,71,82,22,0,0.4
113,73,82,22,0,0.4
108,74,83,22,0,1
110,75,85,21,0,0.8
100,68,85,21,0,0.4
85,57,88,20,0,1.7
67,42,90,20,0,1
53,43,88,21,0,0.5
46,43,85,21,0,1.5
38,37,83,21,0,1.2
34,31,83,21,0,0.5
37,31,81,22,0,0.8
51,40,77,23,0,0.9
69,45,78,23,0,1.1
68,45,73,24,0,1.4
61,46,69,24,0,1.4
55,40,70,24,0,1.4
54,38,70,24,0,1.8
52,33,65,26,0,1
55,40,67,25,0,1.7
64,55,70,24,0,1.8
76,59,74,23,0,1
77,59,78,22,0,1.4
75,49,80,21,0,1.1
65,43,79,21,0,0.9
64,40,79,21,0,1.1
53,29,79,21,0,1
41,31,78,21,0,1
32,24,77,21,0,0.8
33,24,80,19,0,1
33,23,80,19,0,0.5
23,16,79,19,0,1.5
25,16,79,19,0,0.8
17,11,78,19,0,0.7
17,14,78,19,0,0.8
16,6,77,20,0,0.7
14,10,75,20,0,0.8
20,13,72,21,0,0.6
27,22,68,23,0,1
40,29,61,25,0,1
54,36,57,26,0,1.6
65,41,55,27,0,0.9
77,41,54,26,0,1
84,41,54,25,0,1.5
87,49,57,24,0,1.1
83,47,60,23,0,0.9
84,53,62,22,0,1.2
91,45,63,21,0,1.2
84,51,64,20,0,1
84,47,64,20,0,0.8
76,47,65,20,0,0.7
77,46,66,20,0,1.1
73,46,67,20,0,0.6
73,48,67,20,0,0.7
74,48,67,20,0,0.5
74,45,67,20,0,0.7
71,51,68,20,0,0.5
70,51,67,20,0,0.2
75,55,68,20,0,0.2
86,53,67,21,0,0.9
101,58,67,21,0,0.4
117,65,68,21,0,0.8
138,76,66,22,0,0.1
156,90,64,23,0,1
138,78,74,21,0,1.4
95,57,82,18,0,1
46,27,79,17,0,0.9
28,15,73,18,0,2.3
21,6,78,17,0.8,1.2
19,8,87,16,2.6,0.6
15,12,89,16,1.4,0.8
15,14,88,16,0,1
15,9,86,16,0,0.7
22,16,87,16,0.2,0.8
23,20,87,16,0,0.9
23,23,85,16,0,1.9
14,16,83,17,0,2.5
8,10,82,17,0,0.6
5,11,83,17,0,0.7
5,13,82,17,0,0.7
9,13,83,17,0,0.8
10,12,82,17,0,1.6
15,11,81,18,0,0.6
15,11,79,18,0,0.5
20,3,74,20,0,1.1
17,10,70,21,0,1.3
21,9,64,22,0,1.1
22,15,58,24,0,0.9
28,15,57,24,0,1.5
33,19,56,24,0,1.2
42,19,56,24,0,1.2
45,18,57,24,0,2.4
43,13,58,23,0,1.5
30,11,62,21,0,1.1
24,13,65,20,0,1.1
13,6,67,19,0,1.3
17,10,68,19,0,0.6
13,5,70,18,0,0.8
12,5,77,17,2.8,0.7
3,5,85,16,0.8,0.8
3,3,86,17,0,0.4
12,6,86,17,0,0.6
15,4,85,17,0,1.3
