忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
74,42,47,20,0,0.6
71,43,44,21,0,0.7
71,37,42,22,0,0.1
59,33,43,22,0,1.8
61,32,45,21,0,1.6
57,31,46,20,0,1.4
60,32,50,19,0,0.9
54,28,53,18,0,0.9
50,33,55,17,0,0.7
51,31,57,17,0,1.1
44,36,58,17,0,0.5
50,27,59,16,0,0.7
53,32,60,16,0,0.6
59,27,62,16,0,0.6
54,28,63,15,0,0.5
48,32,64,15,0,0.5
49,31,66,15,0,0.2
47,32,67,15,0,0.2
51,24,69,14,0,0.2
55,28,71,14,0,0.3
56,35,70,14,0,0.3
54,41,68,15,0,0.4
54,46,59,18,0,0.1
64,50,50,20,0,0.7
69,46,41,23,0,0.9
65,54,42,23,0,1.5
63,43,40,23,0,1
52,42,36,24,0,0.8
47,27,42,23,0,0.8
50,27,46,22,0,1.3
58,32,52,21,0,1
69,31,56,19,0,0.6
54,36,58,18,0,1.2
52,32,59,18,0,0.7
43,33,59,17,0,0.8
38,28,60,17,0,0.4
38,31,61,17,0,0.7
38,27,61,17,0,0.6
42,28,60,17,0,1.1
40,21,60,17,0,0.2
38,29,63,17,0,0.4
43,29,66,16,0,0.4
46,36,66,16,0,0.4
53,36,66,16,0,0.5
56,38,65,17,0,0.4
66,39,61,18,0,0.7
80,50,58,19,0,0.4
87,57,52,21,0,0.5
99,60,51,21,0,0.5
93,58,43,23,0,0.2
92,55,42,24,0,1.1
94,56,44,23,0,1.1
91,41,43,24,0,1.1
86,31,44,23,0,1.2
64,21,49,21,0,0.8
57,19,52,20,0,0.5
48,19,54,20,0,1
41,20,56,19,0,0.6
38,14,57,19,0,0.4
43,19,57,19,0,0.4
57,22,58,19,0,0.3
66,27,59,19,0,0.3
80,37,61,19,0,0.3
84,38,62,19,0,0.4
89,43,62,19,0,0.1
98,45,63,19,0,0.4
104,49,64,19,0,0.4
111,60,67,18,0,0.2
98,56,69,18,0,0.6
99,60,68,18,0,0.3
110,71,63,19,0,0.9
131,75,57,20,0,0.7
135,86,52,22,0,1
123,68,53,22,0,1.1
99,61,60,21,0,2
66,39,64,20,0,1.6
